,year,date,lake_id,taxon,counted_dem?,dem,infect,count,eggs,counted_all?,fewer_10_hosts?,other_inf_sp,notes,parasite,parasite2,demography
139,2022,5/11/22,Big Sister,dla,yes,J,U,19,NA,no,no,NA,NA,uninfected,,juvenile
140,2022,5/11/22,Big Sister,dpa,yes,A,U,2,NA,no,no,NA,NA,uninfected,,adult
141,2022,5/11/22,Big Sister,dpa,yes,J,U,5,NA,no,no,NA,NA,uninfected,,juvenile
264,2022,4/8/22,Chapman,dam,yes,A,L+G,1,0,no,no,NA,NA,larssonia,gurleya,adult
143,2022,6/3/22,Big Sister,bos,no,NA,U,273,NA,no,no,NA,NA,uninfected,,check
144,2022,6/3/22,Big Sister,cer,no,NA,U,3,NA,no,no,NA,NA,uninfected,,check
145,2022,6/3/22,Big Sister,dam,yes,A,U,1,1,no,no,NA,NA,uninfected,,adult
146,2022,6/3/22,Big Sister,dla,yes,A,U,1,10,no,no,NA,NA,uninfected,,adult
147,2022,6/3/22,Big Sister,dpa,yes,A,U,1,NA,no,no,NA,NA,uninfected,,adult
148,2022,6/22/22,Big Sister,bos,no,NA,M,19,NA,yes,no,NA,squished ~5 to confirm. Sent some to Meg too.,metsch,,check
149,2022,6/22/22,Big Sister,bos,no,NA,U,126,NA,yes,no,NA,NA,uninfected,,check
150,2022,6/22/22,Big Sister,cer,no,NA,U,1,NA,yes,no,NA,NA,uninfected,,check
151,2022,6/22/22,Big Sister,dam,yes,A,U,1,1,yes,no,NA,NA,uninfected,,adult
152,2022,6/22/22,Big Sister,dla,no,J,U,2,NA,yes,no,NA,NA,uninfected,,juvenile
153,2022,6/22/22,Big Sister,dla,yes,A,U,2,0,yes,no,NA,NA,uninfected,,adult
154,2022,6/22/22,Big Sister,sim,yes,J,U,1,NA,yes,no,NA,NA,uninfected,,juvenile
155,2022,7/13/22,Big Sister,bos,no,NA,U,4,NA,yes,yes,NA,NA,uninfected,,check
156,2022,7/13/22,Big Sister,cer,no,NA,U,4,NA,yes,yes,NA,NA,uninfected,,check
157,2022,7/13/22,Big Sister,dam,yes,J,U,1,NA,yes,yes,NA,NA,uninfected,,juvenile
271,2022,4/8/22,Chapman,dpa,yes,A,L+G,1,0,no,no,NA,NA,larssonia,gurleya,adult
159,2021,4/14/21,Catfish,dam,yes,A,B,2,NA,no,no,NA,NA,brood,,adult
17,2022,7/15/22,Bear Creek,NA,NA,NA,NA,NA,NA,yes,yes,NA,no cladocerans,NA,,check
161,2021,4/14/21,Catfish,dla,yes,A,U,46,85,no,no,NA,NA,uninfected,,adult
162,2021,4/14/21,Catfish,dla,yes,A,L,58,0,no,no,NA,NA,larssonia,,adult
163,2021,4/14/21,Catfish,dla,yes,J,U,26,NA,no,no,NA,NA,uninfected,,juvenile
164,2021,4/14/21,Catfish,dla,yes,J,L,57,NA,no,no,NA,NA,larssonia,,juvenile
165,2021,4/14/21,Catfish,dla,yes,M,L,2,NA,no,no,NA,NA,larssonia,,male
166,2021,4/14/21,Catfish,dla,yes,M,U,3,NA,no,no,NA,NA,uninfected,,male
167,2021,4/21/21,Catfish,dla,yes,A,U,51,80,no,no,NA,NA,uninfected,,adult
168,2021,4/21/21,Catfish,dla,yes,A,L,79,1,no,no,NA,NA,larssonia,,adult
169,2021,4/21/21,Catfish,dla,yes,J,L,7,0,no,no,NA,NA,larssonia,,juvenile
170,2021,4/21/21,Catfish,dla,yes,J,U,200,NA,no,no,NA,NA,uninfected,,juvenile
171,2021,4/21/21,Catfish,dla,yes,M,U,3,NA,no,no,NA,NA,uninfected,,male
172,2021,4/28/21,Catfish,dla,yes,A,L,30,4,yes,no,NA,some sim,larssonia,,adult
173,2021,4/28/21,Catfish,dla,yes,A,U,40,152,yes,no,NA,some sim,uninfected,,adult
174,2021,4/28/21,Catfish,dla,yes,J,L,2,NA,yes,no,NA,some sim,larssonia,,juvenile
175,2021,4/28/21,Catfish,dla,yes,J,U,168,NA,yes,no,NA,some sim,uninfected,,juvenile
176,2021,4/28/21,Catfish,dla,yes,M,L,1,NA,yes,no,NA,some sim,larssonia,,male
177,2021,4/28/21,Catfish,dla,yes,M,U,4,NA,yes,no,NA,some sim,uninfected,,male
178,2021,5/5/21,Catfish,dla,yes,A,L,20,0,yes,no,NA,NA,larssonia,,adult
179,2021,5/5/21,Catfish,dla,yes,A,U,30,143,yes,no,NA,NA,uninfected,,adult
180,2021,5/5/21,Catfish,dla,yes,J,U,175,NA,yes,no,NA,NA,uninfected,,juvenile
181,2021,5/5/21,Catfish,dla,yes,M,U,7,NA,yes,no,NA,NA,uninfected,,male
182,2021,5/12/21,Catfish,dla,yes,A,L,2,0,yes,no,NA,NA,larssonia,,adult
183,2021,5/12/21,Catfish,dla,yes,A,U,13,50,yes,no,NA,NA,uninfected,,adult
184,2021,5/12/21,Catfish,dla,yes,J,U,72,NA,yes,no,NA,NA,uninfected,,juvenile
185,2021,5/19/21,Catfish,dla,yes,A,L,2,0,yes,no,NA,NA,larssonia,,adult
186,2021,5/19/21,Catfish,dla,yes,A,U,4,8,yes,no,NA,NA,uninfected,,adult
187,2021,5/19/21,Catfish,dla,yes,J,U,12,NA,yes,no,NA,NA,uninfected,,juvenile
188,2021,5/26/21,Catfish,dla,yes,A,U,1,2,yes,no,NA,NA,uninfected,,adult
189,2021,5/26/21,Catfish,dla,yes,J,U,14,NA,yes,no,NA,NA,uninfected,,juvenile
190,2021,6/2/21,Catfish,dla,yes,A,U,4,10,yes,no,NA,NA,uninfected,,adult
191,2021,6/2/21,Catfish,dla,yes,J,U,13,NA,yes,no,NA,NA,uninfected,,juvenile
192,2021,6/23/21,Catfish,dla,yes,A,L,2,0,no,no,NA,NA,larssonia,,adult
193,2021,6/23/21,Catfish,dla,yes,A,U,126,391,no,no,NA,NA,uninfected,,adult
194,2021,6/23/21,Catfish,dla,yes,J,U,345,NA,no,no,NA,NA,uninfected,,juvenile
195,2021,7/13/21,Catfish,dla,yes,A,U,56,305,no,no,NA,NA,uninfected,,adult
196,2021,7/13/21,Catfish,dla,yes,J,U,296,NA,no,no,NA,NA,uninfected,,juvenile
197,2021,8/4/21,Catfish,dla,yes,A,L,1,0,no,no,NA,NA,larssonia,,adult
198,2021,8/4/21,Catfish,dla,yes,A,U,157,162,no,no,NA,NA,uninfected,,adult
199,2021,8/4/21,Catfish,dla,yes,J,U,231,NA,no,no,NA,NA,uninfected,,juvenile
200,2021,8/26/21,Catfish,dla,yes,A,U,167,243,no,no,NA,NA,uninfected,,adult
201,2021,8/26/21,Catfish,dla,yes,E,U,1,NA,no,no,NA,NA,uninfected,,ephippial
202,2021,8/26/21,Catfish,dla,yes,J,U,200,NA,no,no,NA,NA,uninfected,,juvenile
18,2022,8/9/22,Bear Creek,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,,check
